order_month,total_revenue
2016-09,252.24
2016-10,59090.479999999974
2016-12,19.62
2017-01,138488.03999999992
2017-02,291908.0099999993
2017-03,449863.59999999945
2017-04,417788.0300000001
2017-05,592918.8200000024
2017-06,511276.3800000032
2017-07,592382.920000002
2017-08,674396.3200000002
2017-09,727762.4500000009
2017-10,779677.8800000002
2017-11,1194882.799999997
2017-12,878401.4800000017
2018-01,1115004.1800000048
2018-02,992463.3400000029
2018-03,1159652.119999997
2018-04,1160785.4799999918
2018-05,1153982.1499999957
2018-06,1023880.4999999951
2018-07,1066540.7500000005
2018-08,1022425.3200000009
2018-09,4439.540000000001
2018-10,589.6700000000001
